# Time, source_counts, err, filter, rotor, phase, airmass,rotangle, rotskypa, exptime, seeing, moon_frac, moon_dist
57304.018565,55491.81,83.41766,D,8,0.738547894022,1.298366,0.6298,-320.344,7.0236,3.701732,0.130775,94.176673
57304.019437,53989.86,80.60261,D,1,0.73858080465,1.296182,1.0216,-320.356,7.31625,3.655536,0.1307,94.184948
57304.019437,54181.91,80.74516,D,2,0.73858080465,1.296182,1.0216,-320.356,7.31625,3.432315,0.1307,94.184948
57304.019437,56395.61,84.06944,D,3,0.73858080465,1.296182,1.0216,-320.356,7.0236,3.476615,0.1307,94.184948
57304.019437,55494.32,83.38889,D,4,0.73858080465,1.296182,1.0216,-320.356,7.0236,3.559723,0.1307,94.184948
57304.019437,54087.54,82.34862,D,5,0.73858080465,1.296182,1.0216,-320.356,7.0236,3.538451,0.1307,94.184948
57304.019437,53834.36,82.11662,D,6,0.73858080465,1.296182,1.0216,-320.356,7.0236,3.716371,0.1307,94.184948
57304.019437,55944.02,83.74786,D,7,0.73858080465,1.296182,1.0216,-320.356,7.0236,3.76317,0.1307,94.184948
57304.019437,55627.51,83.48205,D,8,0.73858080465,1.296182,1.0216,-320.356,7.0236,3.577533,0.1307,94.184948
57304.02031,54220.22,82.4407,D,1,0.738613753019,1.294022,1.4156,-320.298,7.02336,3.675902,0.130625,94.193221
57304.018564,121620.9,112.8851,E,6,0.73854785628,1.298366,0.6298,-320.52,7.02312,4.622368,0.130775,94.176673
57304.018564,124671,114.3209,E,7,0.73854785628,1.298366,0.6298,-320.52,7.02312,4.41812,0.130775,94.176673
57304.018564,125509.6,114.6811,E,8,0.73854785628,1.298366,0.6298,-320.52,7.02312,4.556139,0.130775,94.176673
57304.019437,123146.7,111.2979,E,1,0.73858080465,1.296182,1.0216,-320.47,7.31625,4.475748,0.1307,94.184948
57304.019437,121779.8,110.6842,E,2,0.73858080465,1.296182,1.0216,-320.47,7.31625,4.108318,0.1307,94.184948
57304.019437,124352.5,114.1063,E,3,0.73858080465,1.296182,1.0216,-320.47,7.0236,4.450261,0.1307,94.184948
57304.019437,123531.7,113.7422,E,4,0.73858080465,1.296182,1.0216,-320.47,7.0236,4.401769,0.1307,94.184948
57304.019437,121418.1,112.7751,E,5,0.73858080465,1.296182,1.0216,-320.47,7.0236,4.475335,0.1307,94.184948
